"pfil_gene","gene_name","contig","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj","best_anno","dummy_name","GO"
"A1CF","A1CF","NW_021940593.1",103766793,0,5,0,1,0,0,0,5,0,6,0,5,0,0,NA,NA,NA,NA,"A1CF","A1CF","GO:0006397;GO:0016556;GO:0050821;GO:0016554"
"A2M","A2M","NW_021940836.1",103755212,7,17,0,3,0,0,13,11,7,20,13,11,0.35,1.18181818181818,0.703846153846154,0.296153846153846,0.0491721750697627,1,"A2M","A2M","GO:0002576;GO:0001869;GO:0010951;GO:0048863;GO:0051056;GO:0022617;GO:0007597"
"A2ML1","A2ML1","NW_021940836.1",103755211,10,9,1,5,0,0,11,25,11,14,11,25,0.785714285714286,0.44,-0.785714285714286,1.78571428571429,0.416484583234829,1,"A2ML1","A2ML1","GO:0010951;GO:0052548"
"A4GALT","A4GALT","NW_021940729.1",103764181,4,1,0,2,0,0,3,6,4,3,3,6,1.33333333333333,0.5,-1.66666666666667,2.66666666666667,0.61451048951049,1,"A4GALT","A4GALT","GO:0006688;GO:0007009;GO:0001576"
"A4GNT","A4GNT","NW_021940603.1",108640953,0,9,1,0,0,0,0,1,1,9,0,1,0.111111111111111,0,-Inf,Inf,1,1,"A4GNT","A4GNT","GO:0016266;GO:0050680;GO:0005975;GO:0009101;GO:0006493"
"AAAS","AAAS","NW_021939129.1",103767081,3,9,0,1,0,0,5,4,3,10,5,4,0.3,1.25,0.76,0.24,0.186996904024768,1,"AAAS","AAAS","GO:0009566;GO:0016032;GO:0075733;GO:0006406;GO:1900034;GO:0007612;GO:0016925;GO:0060964;GO:0090307;GO:0006110;GO:0006409;GO:0019083;GO:0006913;GO:0001578;GO:0046822"
"AACS","AACS","NW_021940379.1",103760237,5,8,0,0,0,1,0,7,5,9,0,7,0.555555555555556,0,-Inf,Inf,0.123495012039904,1,"AACS","AACS","GO:0046951;GO:0006631;GO:0060612;GO:0042594;GO:0050872;GO:0034201;GO:0071397;GO:0045471;GO:0071394;GO:0007584;GO:0032024;GO:0014074;GO:0071333;GO:0042493;GO:0001889"
"AADAC","AADAC","NW_021940571.1",108640843,7,13,2,3,0,0,8,7,9,16,8,7,0.5625,1.14285714285714,0.5078125,0.4921875,0.335527128908664,1,"AADAC","AADAC","GO:0010898;GO:0006805"
"AADAT","AADAT","NW_021938789.1",103766101,1,3,0,1,0,0,2,3,1,4,2,3,0.25,0.666666666666667,0.625,0.375,1,1,"AADAT","AADAT","GO:0097052;GO:0006554;GO:0070189;GO:0009058;GO:1901605;GO:0006103;GO:0033512;GO:0006569;GO:0006536"
"AAGAB","AAGAB","NW_021939189.1",103757027,2,3,1,1,0,0,1,2,3,4,1,2,0.75,0.5,-0.5,1.5,1,1,"AAGAB","AAGAB","GO:0015031"
