"contig","gene_name","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj"
"NW_021937335.1","LOC115307575","115307575",3,0,4,1,0,0,1,0,7,1,1,0,7,Inf,1,0,1,1
"NW_021937391.1","LOC115308089","115308089",2,0,0,0,0,0,0,0,2,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021937440.1","LOC108641643","108641643",5,14,3,1,11,6,0,3,19,21,0,3,0.904761904761905,0,-Inf,Inf,0.242524916943521,1
"NW_021937515.1","LOC103758627","103758627",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021937554.1","LOC108641916","108641916",3,0,1,0,0,0,0,0,4,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021937560.1","LOC115307460","115307460",1,2,0,0,0,0,0,2,1,2,0,2,0.5,0,-Inf,Inf,1,1
"NW_021937571.1","LOC103758577","103758577",0,1,0,0,0,0,1,0,0,1,1,0,0,Inf,1,0,1,1
"NW_021937597.1","LOC115307501","115307501",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021937599.1","LOC103761673","103761673",2,1,0,0,0,0,0,2,2,1,0,2,2,0,-Inf,Inf,0.4,1
"NW_021937607.1","LOC103757765","103757765",0,0,0,0,2,1,0,0,2,1,0,0,2,NA,NA,NA,NA,NA
"NW_021937619.1","MID1IP1","115307550",0,1,0,1,0,0,1,1,0,2,1,1,0,1,1,0,1,1
"NW_021937625.1","LOC108642080","108642080",1,2,1,0,0,0,3,0,2,2,3,0,1,Inf,1,0,0.428571428571429,1
"NW_021937626.1","LOC108642302","108642302",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021937645.1","LOC103757480","103757480",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021937656.1","LOC103758073","103758073",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021937665.1","LOC108642443","108642443",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021937682.1","LOC108643926","108643926",1,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
"NW_021937700.1","LOC108642805","108642805",2,3,3,1,0,1,0,0,5,5,0,0,1,NA,NA,NA,NA,NA
"NW_021937725.1","LOC108643355","108643355",0,1,0,1,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021937751.1","LOC108642939","108642939",0,0,1,0,0,0,5,5,1,0,5,5,Inf,1,-Inf,Inf,1,1
"NW_021937807.1","LOC108642909","108642909",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021937809.1","LOC108642313","108642313",0,0,0,0,0,0,2,0,0,0,2,0,NA,Inf,NA,NA,NA,NA
"NW_021937857.1","LOC115307982","115307982",0,1,0,0,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021937893.1","LOC103754739","103754739",1,0,0,0,0,0,0,0,1,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021937916.1","LOC115308043_circ","115308043",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021937921.1","LOC115308047","115308047",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021937998.1","LOC108639360","108639360",4,0,0,0,0,0,0,0,4,0,0,0,Inf,NA,NA,NA,NA,NA
"NW_021938004.1","LOC103762665","103762665",1,0,0,0,0,0,0,3,1,0,0,3,Inf,0,-Inf,Inf,0.25,1
"NW_021938030.1","LOC108639356","108639356",1,0,0,0,0,0,0,1,1,0,0,1,Inf,0,-Inf,Inf,1,1
"NW_021938107.1","LOC108638752","108638752",10,3,2,1,1,1,2,1,13,5,2,1,2.6,2,-0.3,1.3,1,1
"NW_021938169.1","LOC115308121","115308121",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938186.1","LOC108643908","108643908",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021938201.1","LOC108642997","108642997",1,1,1,1,0,0,1,0,2,2,1,0,1,Inf,1,0,1,1
"NW_021938251.1","LOC108639910","108639910",1,1,0,2,0,0,0,1,1,3,0,1,0.333333333333333,0,-Inf,Inf,1,1
"NW_021938335.1","LOC103762787","103762787",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938345.1","PRUNE1","115307138",2,2,0,0,0,0,2,2,2,2,2,2,1,1,0,1,1,1
"NW_021938346.1","LOC103758020","103758020",0,2,0,0,0,0,0,1,0,2,0,1,0,0,NA,NA,NA,NA
"NW_021938349.1","AQP5","108639291",0,1,0,0,0,0,1,0,0,1,1,0,0,Inf,1,0,1,1
"NW_021938368.1","LOC108639615","108639615",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938381.1","CYHR1","103765174",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938415.1","LOC108643375","108643375",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021938432.1","LOC108642933","108642933",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021938443.1","LOC108641461","108641461",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
